"time","answer","id"
1473956136529,"rnorm(10,0,1)","Vickaru"
1473956344034,"rnorm(10,0,1)","Vickaru"
1473956548273,"rnorm(10.0.2)","Vickaru"
1473956649863,"rnorm(10,0,2)","Vickaru"
1474557880694,"install.packages(swirl)","Vickaru"
1474557908617,"swirl()","Vickaru"
1474557930048,"swirl()","Vickaru"
1474557962802,"library(swirl)","Vickaru"
1474557972194,"swirl()","Vickaru"
1474558196249,"5+7","Vickaru"
1474558302570,"x<-5+7","Vickaru"
1474558328387,"x","Vickaru"
1474558341622,"x-3","Vickaru"
1474558370827,"y<-x-3","Vickaru"
1474558379559,"y","Vickaru"
1474558488714,"z<-c(1.1, 9, 3.14)","Vickaru"
1474558515216,"?c","Vickaru"
1474558571021,"z","Vickaru"
1474558672177,"c(z,555,z)","Vickaru"
1474558701006,"z*2+100","Vickaru"
1474558848323,"my_sqrt<-sqrt(z-1)","Vickaru"
1474558969735,"?print","Vickaru"
1474559000716,"print(my_sqrt)","Vickaru"
1474559025377,"my_sqrt","Vickaru"
1474559112102,"my_div<-c(z/my_sqrt)","Vickaru"
1474559177864,"my_div<- z/my_sqrt","Vickaru"
1474559272413,"my_div","Vickaru"
1474559560059,"c(1, 2, 3, 4) + c(0, 10)","Vickaru"
1474559621504,"c(1, 2, 3, 4) / c(0, 10, 100)","Vickaru"
1474559668070,"c(0, 10, 100) / c(1, 2, 3, 4)","Vickaru"
1474559732333,"c(1, 2, 3, 4) + c(0, 10, 100)","Vickaru"
1474559802706,"z*2+1000","Vickaru"
1474559863115,"z*2+1000","Vickaru"
1474559879091,"my_div","Vickaru"
1474560071982,"H <-read.table(~/.rstudio-desktop/history_database, sep=:, fill=T, stringsAsFactors=F)","Vickaru"
1474560072028,"names(H) <- c(time, answer)","Vickaru"
1474560072028,"H$id <- YOUR NAME","Vickaru"
1474560072029,"write.csv(H, file = lesson1.csv, row.names = FALSE)","Vickaru"
1474560130371,"H <-read.table(~/.rstudio-desktop/history_database, sep=:, fill=T, stringsAsFactors=F)","Vickaru"
